record_no,index,seed,fundamental_freq,fundamental_amp,fundamental_phase,overtone_freqs,overtone_amps,overtone_phases,full_tone_adsr,full_tone_hold,full_tone_sustain_hold,chorus_delay,chorus_depth,chorus_rate,chorus_wet_level,filename,vanilla,chorus
23,11,71,46.2493028389543,0.55,3.141592653589793,"[92.4986056779086, 138.7479085168629, 184.9972113558172, 231.2465141947715, 277.4958170337258]","[0.1, 0.7000000000000001, 0.05, 0.15000000000000002, 0.5]","[0.5235987755982988, 5.759586531581287, 0.5235987755982988, 2.0943951023931953, 4.1887902047863905]","[300, 0, 1500, 150, 20]",0.7,150,0,0,0,0,VNL_11_71_46.wav,1,0
24,11,71,46.2493028389543,0.55,3.141592653589793,"[92.4986056779086, 138.7479085168629, 184.9972113558172, 231.2465141947715, 277.4958170337258]","[0.1, 0.7000000000000001, 0.05, 0.15000000000000002, 0.5]","[0.5235987755982988, 5.759586531581287, 0.5235987755982988, 2.0943951023931953, 4.1887902047863905]","[300, 0, 1500, 150, 20]",0.7,150,5,5,1,0.5,CHR_11_71_46.wav,0,1
25,12,77,46.2493028389543,0.35,2.617993877991494,"[92.4986056779086, 138.7479085168629, 184.9972113558172, 231.2465141947715, 277.4958170337258]","[0.4, 0.9500000000000001, 0.7000000000000001, 0.55, 0.4]","[0.5235987755982988, 4.1887902047863905, 4.71238898038469, 3.665191429188092, 2.617993877991494]","[1200, 40, 20, 250, 20]",0.8,250,0,0,0,0,VNL_12_77_46.wav,1,0
26,12,77,46.2493028389543,0.35,2.617993877991494,"[92.4986056779086, 138.7479085168629, 184.9972113558172, 231.2465141947715, 277.4958170337258]","[0.4, 0.9500000000000001, 0.7000000000000001, 0.55, 0.4]","[0.5235987755982988, 4.1887902047863905, 4.71238898038469, 3.665191429188092, 2.617993877991494]","[1200, 40, 20, 250, 20]",0.8,250,10,5,2,0.5,CHR_12_77_46.wav,0,1
27,13,83,110.0,0.25,2.0943951023931953,"[220.0, 330.0, 440.0, 550.0, 660.0]","[0.2, 0.4, 0.8, 0.2, 0.75]","[3.665191429188092, 3.141592653589793, 3.665191429188092, 3.665191429188092, 3.665191429188092]","[300, 20, 1000, 200, 0]",0.7,200,0,0,0,0,VNL_13_83_110.wav,1,0
28,13,83,110.0,0.25,2.0943951023931953,"[220.0, 330.0, 440.0, 550.0, 660.0]","[0.2, 0.4, 0.8, 0.2, 0.75]","[3.665191429188092, 3.141592653589793, 3.665191429188092, 3.665191429188092, 3.665191429188092]","[300, 20, 1000, 200, 0]",0.7,200,1,3,4,0.5,CHR_13_83_110.wav,0,1
29,14,89,220.0,0.15000000000000002,3.665191429188092,"[440.0, 660.0, 880.0, 1100.0, 1320.0]","[0.30000000000000004, 0.0, 0.2, 0.6000000000000001, 0.1]","[5.759586531581287, 4.1887902047863905, 5.759586531581287, 1.5707963267948966, 4.71238898038469]","[0, 0, 300, 100, 1500]",0.8,100,0,0,0,0,VNL_14_89_220.wav,1,0
30,14,89,220.0,0.15000000000000002,3.665191429188092,"[440.0, 660.0, 880.0, 1100.0, 1320.0]","[0.30000000000000004, 0.0, 0.2, 0.6000000000000001, 0.1]","[5.759586531581287, 4.1887902047863905, 5.759586531581287, 1.5707963267948966, 4.71238898038469]","[0, 0, 300, 100, 1500]",0.8,100,10,4,4,0.5,CHR_14_89_220.wav,0,1
31,15,95,123.47082531403103,0.2,3.665191429188092,"[246.94165062806206, 370.4124759420931, 493.8833012561241, 617.3541265701551, 740.8249518841862]","[0.1, 0.65, 0.75, 0.8500000000000001, 0.8500000000000001]","[4.71238898038469, 4.1887902047863905, 4.71238898038469, 1.0471975511965976, 4.1887902047863905]","[1500, 40, 300, 0, 100]",0.8,0,0,0,0,0,VNL_15_95_123.wav,1,0
32,15,95,123.47082531403103,0.2,3.665191429188092,"[246.94165062806206, 370.4124759420931, 493.8833012561241, 617.3541265701551, 740.8249518841862]","[0.1, 0.65, 0.75, 0.8500000000000001, 0.8500000000000001]","[4.71238898038469, 4.1887902047863905, 4.71238898038469, 1.0471975511965976, 4.1887902047863905]","[1500, 40, 300, 0, 100]",0.8,0,30,5,3,0.5,CHR_15_95_123.wav,0,1
33,16,101,415.3046975799451,0.6,5.235987755982988,"[830.6093951598903, 1245.9140927398353, 1661.2187903197805, 2076.5234878997258, 2491.8281854796705]","[0.30000000000000004, 0.55, 0.6000000000000001, 0.2, 0.9]","[3.141592653589793, 4.71238898038469, 3.141592653589793, 3.665191429188092, 1.5707963267948966]","[1000, 0, 500, 250, 20]",0.5,250,0,0,0,0,VNL_16_101_415.wav,1,0
34,16,101,415.3046975799451,0.6,5.235987755982988,"[830.6093951598903, 1245.9140927398353, 1661.2187903197805, 2076.5234878997258, 2491.8281854796705]","[0.30000000000000004, 0.55, 0.6000000000000001, 0.2, 0.9]","[3.141592653589793, 4.71238898038469, 3.141592653589793, 3.665191429188092, 1.5707963267948966]","[1000, 0, 500, 250, 20]",0.5,250,2,6,1,0.5,CHR_16_101_415.wav,0,1
35,17,107,77.78174593052023,0.65,1.0471975511965976,"[155.56349186104046, 233.3452377915607, 311.1269837220809, 388.90872965260115, 466.6904755831214]","[0.7000000000000001, 0.0, 0.9, 0.75, 0.35000000000000003]","[5.759586531581287, 1.5707963267948966, 2.617993877991494, 0.0, 4.71238898038469]","[1200, 40, 100, 250, 0]",0.8,250,0,0,0,0,VNL_17_107_78.wav,1,0
36,17,107,77.78174593052023,0.65,1.0471975511965976,"[155.56349186104046, 233.3452377915607, 311.1269837220809, 388.90872965260115, 466.6904755831214]","[0.7000000000000001, 0.0, 0.9, 0.75, 0.35000000000000003]","[5.759586531581287, 1.5707963267948966, 2.617993877991494, 0.0, 4.71238898038469]","[1200, 40, 100, 250, 0]",0.8,250,3,7,3,0.5,CHR_17_107_78.wav,0,1
37,18,113,69.29565774421802,0.2,5.235987755982988,"[138.59131548843604, 207.88697323265404, 277.1826309768721, 346.4782887210901, 415.7739464653081]","[0.4, 0.6000000000000001, 0.30000000000000004, 0.75, 0.0]","[1.5707963267948966, 4.71238898038469, 2.617993877991494, 5.235987755982988, 5.235987755982988]","[1000, 0, 300, 300, 300]",0.6,300,0,0,0,0,VNL_18_113_69.wav,1,0
38,18,113,69.29565774421802,0.2,5.235987755982988,"[138.59131548843604, 207.88697323265404, 277.1826309768721, 346.4782887210901, 415.7739464653081]","[0.4, 0.6000000000000001, 0.30000000000000004, 0.75, 0.0]","[1.5707963267948966, 4.71238898038469, 2.617993877991494, 5.235987755982988, 5.235987755982988]","[1000, 0, 300, 300, 300]",0.6,300,15,4,1,0.5,CHR_18_113_69.wav,0,1
39,19,119,155.56349186104046,0.25,2.617993877991494,"[311.1269837220809, 466.6904755831214, 622.2539674441618, 777.8174593052023, 933.3809511662428]","[0.45, 0.9500000000000001, 0.35000000000000003, 0.25, 0.45]","[1.5707963267948966, 4.1887902047863905, 1.0471975511965976, 2.0943951023931953, 1.0471975511965976]","[300, 0, 1000, 300, 50]",0.8,300,0,0,0,0,VNL_19_119_156.wav,1,0
40,19,119,155.56349186104046,0.25,2.617993877991494,"[311.1269837220809, 466.6904755831214, 622.2539674441618, 777.8174593052023, 933.3809511662428]","[0.45, 0.9500000000000001, 0.35000000000000003, 0.25, 0.45]","[1.5707963267948966, 4.1887902047863905, 1.0471975511965976, 2.0943951023931953, 1.0471975511965976]","[300, 0, 1000, 300, 50]",0.8,300,1,3,3,0.5,CHR_19_119_156.wav,0,1
41,20,125,1174.6590716696303,0.45000000000000007,1.5707963267948966,"[2349.3181433392606, 3523.977215008891, 4698.636286678521, 5873.295358348151, 7047.954430017782]","[0.1, 0.8, 0.05, 0.4, 0.35000000000000003]","[1.5707963267948966, 1.5707963267948966, 2.0943951023931953, 4.1887902047863905, 1.5707963267948966]","[1500, 40, 0, 0, 300]",0.8,0,0,0,0,0,VNL_20_125_1175.wav,1,0
42,20,125,1174.6590716696303,0.45000000000000007,1.5707963267948966,"[2349.3181433392606, 3523.977215008891, 4698.636286678521, 5873.295358348151, 7047.954430017782]","[0.1, 0.8, 0.05, 0.4, 0.35000000000000003]","[1.5707963267948966, 1.5707963267948966, 2.0943951023931953, 4.1887902047863905, 1.5707963267948966]","[1500, 40, 0, 0, 300]",0.8,0,20,2,3,0.5,CHR_20_125_1175.wav,0,1
43,21,131,1864.6550460723597,0.15000000000000002,4.71238898038469,"[3729.3100921447194, 5593.96513821708, 7458.620184289439, 9323.275230361798, 11187.93027643416]","[0.05, 0.35000000000000003, 0.9, 0.8, 0.5]","[4.71238898038469, 3.141592653589793, 4.1887902047863905, 3.141592653589793, 2.617993877991494]","[1500, 0, 100, 50, 300]",0.7,50,0,0,0,0,VNL_21_131_1865.wav,1,0
44,21,131,1864.6550460723597,0.15000000000000002,4.71238898038469,"[3729.3100921447194, 5593.96513821708, 7458.620184289439, 9323.275230361798, 11187.93027643416]","[0.05, 0.35000000000000003, 0.9, 0.8, 0.5]","[4.71238898038469, 3.141592653589793, 4.1887902047863905, 3.141592653589793, 2.617993877991494]","[1500, 0, 100, 50, 300]",0.7,50,4,3,4,0.5,CHR_21_131_1865.wav,0,1
45,22,137,554.3652619537442,0.30000000000000004,3.141592653589793,"[1108.7305239074883, 1663.0957858612323, 2217.4610478149766, 2771.826309768721, 3326.1915717224647]","[0.75, 0.75, 0.55, 0.9, 0.1]","[2.617993877991494, 4.1887902047863905, 5.235987755982988, 3.141592653589793, 1.0471975511965976]","[20, 20, 50, 200, 1500]",0.5,200,0,0,0,0,VNL_22_137_554.wav,1,0
46,22,137,554.3652619537442,0.30000000000000004,3.141592653589793,"[1108.7305239074883, 1663.0957858612323, 2217.4610478149766, 2771.826309768721, 3326.1915717224647]","[0.75, 0.75, 0.55, 0.9, 0.1]","[2.617993877991494, 4.1887902047863905, 5.235987755982988, 3.141592653589793, 1.0471975511965976]","[20, 20, 50, 200, 1500]",0.5,200,1,5,1,0.5,CHR_22_137_554.wav,0,1
47,23,143,110.0,0.7000000000000001,3.665191429188092,"[220.0, 330.0, 440.0, 550.0, 660.0]","[0.0, 0.15000000000000002, 0.8, 0.9, 0.25]","[5.759586531581287, 0.0, 0.0, 5.759586531581287, 0.0]","[400, 20, 1000, 20, 200]",0.5,20,0,0,0,0,VNL_23_143_110.wav,1,0
48,23,143,110.0,0.7000000000000001,3.665191429188092,"[220.0, 330.0, 440.0, 550.0, 660.0]","[0.0, 0.15000000000000002, 0.8, 0.9, 0.25]","[5.759586531581287, 0.0, 0.0, 5.759586531581287, 0.0]","[400, 20, 1000, 20, 200]",0.5,20,25,5,2,0.5,CHR_23_143_110.wav,0,1
49,24,149,739.9888454232688,0.15000000000000002,3.665191429188092,"[1479.9776908465376, 2219.9665362698065, 2959.955381693075, 3699.944227116344, 4439.933072539613]","[0.65, 0.2, 0.9500000000000001, 0.6000000000000001, 0.1]","[4.1887902047863905, 1.0471975511965976, 5.235987755982988, 5.759586531581287, 0.5235987755982988]","[20, 40, 400, 100, 1000]",0.5,100,0,0,0,0,VNL_24_149_740.wav,1,0
50,24,149,739.9888454232688,0.15000000000000002,3.665191429188092,"[1479.9776908465376, 2219.9665362698065, 2959.955381693075, 3699.944227116344, 4439.933072539613]","[0.65, 0.2, 0.9500000000000001, 0.6000000000000001, 0.1]","[4.1887902047863905, 1.0471975511965976, 5.235987755982988, 5.759586531581287, 0.5235987755982988]","[20, 40, 400, 100, 1000]",0.5,100,15,2,4,0.5,CHR_24_149_740.wav,0,1
51,25,155,293.6647679174076,0.7000000000000001,1.5707963267948966,"[587.3295358348151, 880.9943037522228, 1174.6590716696303, 1468.3238395870378, 1761.9886075044456]","[0.65, 0.6000000000000001, 0.75, 0.30000000000000004, 0.9]","[5.759586531581287, 5.235987755982988, 0.5235987755982988, 3.141592653589793, 4.1887902047863905]","[200, 40, 1000, 300, 100]",0.6,300,0,0,0,0,VNL_25_155_294.wav,1,0
52,25,155,293.6647679174076,0.7000000000000001,1.5707963267948966,"[587.3295358348151, 880.9943037522228, 1174.6590716696303, 1468.3238395870378, 1761.9886075044456]","[0.65, 0.6000000000000001, 0.75, 0.30000000000000004, 0.9]","[5.759586531581287, 5.235987755982988, 0.5235987755982988, 3.141592653589793, 4.1887902047863905]","[200, 40, 1000, 300, 100]",0.6,300,20,3,2,0.5,CHR_25_155_294.wav,0,1
53,26,161,987.7666025122483,0.75,5.759586531581287,"[1975.5332050244965, 2963.299807536745, 3951.066410048993, 4938.833012561241, 5926.59961507349]","[0.9500000000000001, 0.35000000000000003, 0.6000000000000001, 0.15000000000000002, 0.8]","[3.665191429188092, 0.5235987755982988, 1.0471975511965976, 4.1887902047863905, 1.5707963267948966]","[300, 20, 0, 300, 1000]",0.6,300,0,0,0,0,VNL_26_161_988.wav,1,0
54,26,161,987.7666025122483,0.75,5.759586531581287,"[1975.5332050244965, 2963.299807536745, 3951.066410048993, 4938.833012561241, 5926.59961507349]","[0.9500000000000001, 0.35000000000000003, 0.6000000000000001, 0.15000000000000002, 0.8]","[3.665191429188092, 0.5235987755982988, 1.0471975511965976, 4.1887902047863905, 1.5707963267948966]","[300, 20, 0, 300, 1000]",0.6,300,3,4,2,0.5,CHR_26_161_988.wav,0,1
55,27,167,38.890872965260115,0.4,4.1887902047863905,"[77.78174593052023, 116.67261889578035, 155.56349186104046, 194.45436482630058, 233.3452377915607]","[0.8500000000000001, 0.15000000000000002, 0.0, 0.25, 0.35000000000000003]","[4.71238898038469, 5.759586531581287, 0.0, 5.235987755982988, 0.5235987755982988]","[200, 20, 50, 50, 1500]",0.7,50,0,0,0,0,VNL_27_167_39.wav,1,0
56,27,167,38.890872965260115,0.4,4.1887902047863905,"[77.78174593052023, 116.67261889578035, 155.56349186104046, 194.45436482630058, 233.3452377915607]","[0.8500000000000001, 0.15000000000000002, 0.0, 0.25, 0.35000000000000003]","[4.71238898038469, 5.759586531581287, 0.0, 5.235987755982988, 0.5235987755982988]","[200, 20, 50, 50, 1500]",0.7,50,20,10,3,0.5,CHR_27_167_39.wav,0,1
57,28,173,61.7354126570155,0.9,2.617993877991494,"[123.470825314031, 185.2062379710465, 246.941650628062, 308.6770632850775, 370.412475942093]","[0.4, 0.55, 0.8500000000000001, 0.55, 0.5]","[4.1887902047863905, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 3.665191429188092]","[1000, 0, 200, 300, 50]",0.5,300,0,0,0,0,VNL_28_173_62.wav,1,0
58,28,173,61.7354126570155,0.9,2.617993877991494,"[123.470825314031, 185.2062379710465, 246.941650628062, 308.6770632850775, 370.412475942093]","[0.4, 0.55, 0.8500000000000001, 0.55, 0.5]","[4.1887902047863905, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 3.665191429188092]","[1000, 0, 200, 300, 50]",0.5,300,4,9,2,0.5,CHR_28_173_62.wav,0,1
59,29,179,27.5,0.8,0.0,"[55.0, 82.5, 110.0, 137.5, 165.0]","[0.7000000000000001, 0.0, 0.30000000000000004, 0.15000000000000002, 0.30000000000000004]","[1.5707963267948966, 0.0, 3.665191429188092, 4.1887902047863905, 0.5235987755982988]","[1200, 0, 500, 100, 200]",0.6,100,0,0,0,0,VNL_29_179_28.wav,1,0
60,29,179,27.5,0.8,0.0,"[55.0, 82.5, 110.0, 137.5, 165.0]","[0.7000000000000001, 0.0, 0.30000000000000004, 0.15000000000000002, 0.30000000000000004]","[1.5707963267948966, 0.0, 3.665191429188092, 4.1887902047863905, 0.5235987755982988]","[1200, 0, 500, 100, 200]",0.6,100,2,4,2,0.5,CHR_29_179_28.wav,0,1
61,30,185,77.78174593052023,0.2,5.235987755982988,"[155.56349186104046, 233.3452377915607, 311.1269837220809, 388.90872965260115, 466.6904755831214]","[0.9, 0.7000000000000001, 0.15000000000000002, 0.4, 0.15000000000000002]","[5.759586531581287, 2.617993877991494, 0.5235987755982988, 0.0, 1.0471975511965976]","[0, 0, 1500, 100, 50]",0.8,100,0,0,0,0,VNL_30_185_78.wav,1,0
62,30,185,77.78174593052023,0.2,5.235987755982988,"[155.56349186104046, 233.3452377915607, 311.1269837220809, 388.90872965260115, 466.6904755831214]","[0.9, 0.7000000000000001, 0.15000000000000002, 0.4, 0.15000000000000002]","[5.759586531581287, 2.617993877991494, 0.5235987755982988, 0.0, 1.0471975511965976]","[0, 0, 1500, 100, 50]",0.8,100,5,2,4,0.5,CHR_30_185_78.wav,0,1
63,31,191,329.6275569128699,0.75,4.1887902047863905,"[659.2551138257398, 988.8826707386097, 1318.5102276514797, 1648.1377845643497, 1977.7653414772194]","[0.55, 0.35000000000000003, 0.75, 0.1, 0.8]","[3.665191429188092, 2.0943951023931953, 5.759586531581287, 1.0471975511965976, 4.1887902047863905]","[1000, 40, 400, 50, 20]",0.4,50,0,0,0,0,VNL_31_191_330.wav,1,0
64,31,191,329.6275569128699,0.75,4.1887902047863905,"[659.2551138257398, 988.8826707386097, 1318.5102276514797, 1648.1377845643497, 1977.7653414772194]","[0.55, 0.35000000000000003, 0.75, 0.1, 0.8]","[3.665191429188092, 2.0943951023931953, 5.759586531581287, 1.0471975511965976, 4.1887902047863905]","[1000, 40, 400, 50, 20]",0.4,50,20,2,1,0.5,CHR_31_191_330.wav,0,1
65,32,197,415.3046975799451,0.55,0.5235987755982988,"[830.6093951598903, 1245.9140927398353, 1661.2187903197805, 2076.5234878997258, 2491.8281854796705]","[0.8500000000000001, 0.9500000000000001, 0.9500000000000001, 0.8, 0.8500000000000001]","[3.665191429188092, 0.5235987755982988, 3.141592653589793, 5.759586531581287, 0.0]","[1200, 0, 20, 300, 0]",0.6,300,0,0,0,0,VNL_32_197_415.wav,1,0
66,32,197,415.3046975799451,0.55,0.5235987755982988,"[830.6093951598903, 1245.9140927398353, 1661.2187903197805, 2076.5234878997258, 2491.8281854796705]","[0.8500000000000001, 0.9500000000000001, 0.9500000000000001, 0.8, 0.8500000000000001]","[3.665191429188092, 0.5235987755982988, 3.141592653589793, 5.759586531581287, 0.0]","[1200, 0, 20, 300, 0]",0.6,300,15,6,4,0.5,CHR_32_197_415.wav,0,1
67,33,203,38.890872965260115,0.85,0.5235987755982988,"[77.78174593052023, 116.67261889578035, 155.56349186104046, 194.45436482630058, 233.3452377915607]","[0.55, 0.05, 0.1, 0.6000000000000001, 0.1]","[5.759586531581287, 1.5707963267948966, 5.759586531581287, 5.235987755982988, 0.0]","[1200, 0, 200, 50, 300]",0.7,50,0,0,0,0,VNL_33_203_39.wav,1,0
